Store_ID,Product_ID,Stock_On_Hand,Product_Price,Product_Cost,StoreAgeDays,Year,Month,Day,DayOfWeek,WeekOfYear,Units_7D_MA_LAG1,Store_City_Campeche,Store_City_Chetumal,Store_City_Chihuahua,Store_City_Chilpancingo,Store_City_Ciudad Victoria,Store_City_Cuernavaca,Store_City_Cuidad de Mexico,Store_City_Culiacan,Store_City_Durango,Store_City_Guadalajara,Store_City_Guanajuato,Store_City_Hermosillo,Store_City_La Paz,Store_City_Merida,Store_City_Mexicali,Store_City_Monterrey,Store_City_Morelia,Store_City_Oaxaca,Store_City_Pachuca,Store_City_Puebla,Store_City_Saltillo,Store_City_San Luis Potosi,Store_City_Santiago,Store_City_Toluca,Store_City_Tuxtla Gutierrez,Store_City_Villahermosa,Store_City_Xalapa,Store_City_Zacatecas,Store_Location_Commercial,Store_Location_Downtown,Store_Location_Residential,Product_Category_Electronics,Product_Category_Games,Product_Category_Sports & Outdoors,Product_Category_Toys,Units
1,21,21.0,9.99,6.99,10697.0,2022,1,1,5,52,7.666666666666667,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,35
1,31,7.0,8.99,7.989999999999999,10697.0,2022,1,1,5,52,13.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,9
1,34,0.0,25.99,20.99,10697.0,2022,1,1,5,52,19.666666666666668,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,4
2,18,38.0,39.99,34.99,9746.0,2022,1,1,5,52,9.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,5
3,8,44.0,6.989999999999999,3.99,8041.0,2022,1,1,5,52,8.5,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,6
3,24,15.0,19.99,14.99,8041.0,2022,1,1,5,52,7.666666666666667,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,21
4,1,2.0,15.99,9.99,8036.0,2022,1,1,5,52,7.333333333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,6
4,8,15.0,6.99,3.99,8036.0,2022,1,1,5,52,10.666666666666666,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,2
4,9,27.0,10.99,9.99,8036.0,2022,1,1,5,52,14.166666666666666,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,11
4,20,13.0,24.99,8.99,8036.0,2022,1,1,5,52,10.666666666666666,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,18
5,6,12.0,14.99,6.99,7520.0,2022,1,1,5,52,14.2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,4
5,7,30.0,15.99,11.99,7520.0,2022,1,1,5,52,13.666666666666666,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,3
5,8,27.0,6.99,3.9899999999999998,7520.0,2022,1,1,5,52,10.666666666666666,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,14
5,21,0.0,9.99,6.99,7520.0,2022,1,1,5,52,9.6,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,10
5,31,31.0,8.99,7.989999999999999,7520.0,2022,1,1,5,52,13.666666666666666,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,18
6,3,20.0,3.99,1.99,6594.0,2022,1,1,5,52,8.166666666666666,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,9
6,6,32.0,14.99,6.989999999999999,6594.0,2022,1,1,5,52,9.833333333333334,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,11
6,8,50.0,6.99,3.9899999999999998,6594.0,2022,1,1,5,52,4.666666666666667,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,14
6,25,62.0,2.99,1.9899999999999998,6594.0,2022,1,1,5,52,8.666666666666666,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,5
7,4,17.0,12.99,9.99,6582.0,2022,1,1,5,52,17.666666666666668,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,3
7,8,46.0,6.99,3.9900000000000007,6582.0,2022,1,1,5,52,12.666666666666666,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,10
7,9,0.0,10.99,9.99,6582.0,2022,1,1,5,52,11.666666666666666,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,11
7,31,15.0,8.99,7.99,6582.0,2022,1,1,5,52,14.166666666666666,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,8
8,8,42.0,6.989999999999999,3.99,6288.0,2022,1,1,5,52,9.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,12
8,20,5.0,24.99,8.99,6288.0,2022,1,1,5,52,14.166666666666666,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,8
9,1,15.0,15.99,9.99,6287.0,2022,1,1,5,52,7.833333333333333,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,9
